Daily Discharge (m3/s) (PARAM = 1) and Daily Water Level (m) (PARAM = 2)
ID,PARAM,TYPE,YEAR,DD,Jan,SYM,Feb,SYM,Mar,SYM,Apr,SYM,May,SYM,Jun,SYM,Jul,SYM,Aug,SYM,Sep,SYM,Oct,SYM,Nov,SYM,Dec,SYM
08GA022,1,1,2005,19,1080,,47.9,,90.0,,91.1,,439,,368,,461,,310,,189,,376,,118,,47.4,
08GA022,1,1,2005,20,971,,39.8,,123,,124,,373,,347,,400,,319,,176,,400,,160,,155,
08GA022,1,1,2005,21,505,,42.0,,134,,254,,300,,370,,375,,289,,126,,261,,165,,558,
08GA022,1,1,2005,22,772,,44.7,,97.9,,349,,352,,600,,363,,261,,107,,230,,169,,566,
08GA022,1,1,2005,23,1050,,51.8,,94.4,,383,,357,,506,,363,,241,,97.8,,369,,141,,396,
08GA022,1,1,2005,24,760,,40.9,,76.4,,407,,278,,411,,317,,222,,79.8,,199,,129,,689,
08GA022,1,1,2005,25,480,,38.1,,58.1,,390,,260,,383,,324,,227,,81.7,,157,,150,,1000,
08GA022,1,1,2005,26,348,,39.6,,80.7,,437,,300,,384,,331,,254,,110,,210,,138,,546,
08GA022,1,1,2005,27,366,,39.8,,100,,456,,383,,366,,361,,249,,121,,168,,119,,375,
08GA022,1,1,2005,28,283,,42.1,,102,,335,,474,,399,,412,,455,,113,,147,,114,,284,
08GA022,1,1,2005,29,211,,,,86.7,,251,,539,,452,,431,,378,,478,,169,,92.2,,232,
08GA022,1,1,2005,30,173,,,,81.1,,207,,557,,484,,375,,290,,428,,148,,83.7,,210,
08GA022,1,1,2005,31,224,,,,86.6,,,,526,,,,460,,296,,,,258,,,,202,
08GA022,1,1,2006,01,177,,113,,65.5,,75.1,,206,,576,,555,,286,,181,,120,,125,,82.4,
08GA022,1,1,2006,02,182,,121,,58.0,,69.8,,168,,859,,584,,244,,198,,93.4,,83.8,,72.2,
08GA022,1,1,2006,03,159,,90.8,,56.7,,71.4,,153,,694,,609,,230,,222,,77.9,,216,,56.8,
08GA022,1,1,2006,04,143,,136,,42.6,,89.9,,164,,498,,634,,249,,265,,73.7,,581,,74.6,
08GA022,1,1,2006,05,208,,120,,35.8,,90.7,,201,,430,,599,,230,,280,,73.4,,497,,60.4,
08GA022,1,1,2006,06,260,,102,,40.2,,94.5,,237,,474,,575,,260,,274,,68.7,,1120,,57.5,
08GA022,1,1,2006,07,265,,79.2,,71.5,,99.5,,215,,470,,471,,300,,268,,66.2,,972,,67.9,
08GA022,1,1,2006,08,211,,65.8,,68.9,,115,,196,,489,,447,,311,,250,,56.5,,396,,124,
08GA022,1,1,2006,09,201,,61.0,,62.5,,140,,160,,519,,572,,361,,249,,49.0,,252,,126,
08GA022,1,1,2006,10,144,,54.7,,46.9,,153,,153,,557,,604,,310,,228,,45.0,,214,,112,
08GA022,1,1,2006,11,125,,50.8,,40.8,,146,,167,,640,,500,,274,,209,,62.5,,196,,182,
08GA022,1,1,2006,12,112,,47.9,,36.9,,162,,178,,610,,422,,256,,219,,96.8,,189,,229,
08GA022,1,1,2006,13,142,,47.0,,34.6,,173,,192,,623,,504,,251,,206,,97.5,,191,,193,
08GA022,1,1,2006,14,161,,44.7,,33.0,,161,,187,,646,,473,,304,,161,,94.3,,165,,173,
08GA022,1,1,2006,15,156,,41.1,,33.5,,143,,228,,572,,452,,305,,104,,98.5,,261,,125,
08GA022,1,1,2006,16,119,,49.8,,47.7,,119,,455,,549,,377,,298,,85.4,,101,,358,,90.7,
08GA022,1,1,2006,17,116,,49.2,,75.3,,114,,645,,604,,369,,301,,78.6,,64.9,,239,,78.9,
08GA022,1,1,2006,18,106,,42.0,,62.4,,102,,646,,488,,352,,307,,261,,49.3,,211,,93.8,
08GA022,1,1,2006,19,90.2,,33.8,,37.4,,106,,608,,442,,335,,330,,166,,47.1,,260,,88.0,
08GA022,1,1,2006,20,93.6,,45.0,,31.5,,115,,588,,413,,343,,331,,168,,51.2,,300,,99.2,
08GA022,1,1,2006,21,80.2,,53.4,,31.7,,196,,497,,402,,501,,322,,172,,42.9,,232,,157,
08GA022,1,1,2006,22,67.5,,49.8,,55.2,,163,,494,,394,,648,,291,,116,,38.6,,171,,155,
08GA022,1,1,2006,23,66.9,,64.0,,88.3,,122,,494,,382,,708,,308,,103,,67.2,,133,,95.4,
08GA022,1,1,2006,24,64.9,,49.4,,124,,135,,528,,417,,718,,287,,134,,77.0,,110,,74.5,
08GA022,1,1,2006,25,78.2,,34.1,,129,,182,,468,,510,,639,,282,,147,,67.0,,92.4,,79.4,
08GA022,1,1,2006,26,101,,29.1,,87.8,,206,,395,,619,,547,,280,,152,,132,,84.5,,84.9,
08GA022,1,1,2006,27,103,,43.5,,71.2,,171,,373,,671,,516,,299,,188,,435,,98.4,,72.7,
08GA022,1,1,2006,28,83.6,,70.5,,62.6,,162,,465,,653,,466,,304,,203,,366,,102,,85.9,
08GA022,1,1,2006,29,73.6,,,,70.7,,270,,469,,532,,417,,272,,176,,305,,102,,79.2,
08GA022,1,1,2006,30,78.3,,,,77.7,,299,,430,,517,,367,,217,,153,,141,,112,,61.6,
08GA022,1,1,2006,31,94.9,,,,78.4,,,,414,,,,321,,183,,,,132,,,,54.6,
08GA022,1,1,2007,01,65.8,,81.3,,50.4,,85.6,E,165,,645,,510,,386,,357,,195,,167,,90.7,
08GA022,1,1,2007,02,198,,72.9,,49.7,,74.3,E,167,,672,,483,,424,,306,,337,,136,,92.6,
08GA022,1,1,2007,03,188,,41.4,,35.5,,71.2,E,216,,731,,562,,471,,351,,228,,136,,141,
08GA022,1,1,2007,04,140,,39.1,,35.7,,66.5,E,187,,949,,631,,450,,291,,188,,225,,733,
08GA022,1,1,2007,05,118,,40.6,,46.9,,68.1,E,164,,896,,734,,439,,270,,167,,179,,504,
08GA022,1,1,2007,06,94.5,,44.9,,57.0,,65.9,E,150,,722,,751,,472,,239,,151,,166,,265,
08GA022,1,1,2007,07,74.4,,50.4,,117,,100,E,158,,524,,669,,500,,203,,656,,186,,187,
08GA022,1,1,2007,08,84.9,,74.6,,154,,175,E,227,,444,,578,,455,,176,,514,,178,,152,
08GA022,1,1,2007,09,93.7,,84.5,,151,,235,E,297,,444,,557,,399,,161,,336,,393,,138,
08GA022,1,1,2007,10,113,,84.1,,142,,190,E,282,,549,,676,,379,,179,,812,,397,,127,
